product_id,product_name,product_name_en,category_l1,category_l2,category_l3,brand,supplier_id,cost_price,list_price,current_price,stock_quantity,product_status,launch_date,description,weight_g,dimensions
PRD-INT-00019,間接照明フロアライト,Standing Floor Lamp,インテリア,照明,フロアライト,NordicHome Original,SUP-00020,8933.75,18740.16,15472.13,355,discontinued,2020-06-28,スタイリッシュなデザインと機能性を両立したフロアライト。間接照明フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1882,W16×D26×H22cm
PRD-INT-00020,北欧風フロアライト,Nordic Floor Light,インテリア,照明,フロアライト,GlacierStyle Original,SUP-00050,11989.33,34581.87,26078.4,427,active,2020-06-21,スタイリッシュなデザインと機能性を両立したフロアライト。北欧風フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1731,W23×D16×H51cm
PRD-INT-00021,北欧風フロアライト,Standing Floor Lamp,インテリア,照明,フロアライト,NordicHome Original,SUP-00005,5927.05,14621.93,12263.34,316,discontinued,2023-05-08,スタイリッシュなデザインと機能性を両立したフロアライト。北欧風フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1320,W11×D11×H31cm
PRD-INT-00022,北欧風フロアライト,Nordic Floor Light,インテリア,照明,フロアライト,MinimalSpace Original,SUP-00008,15335.74,37148.68,35638.53,301,discontinued,2023-03-04,スタイリッシュなデザインと機能性を両立したフロアライト。北欧風フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,475,W22×D16×H20cm
PRD-INT-00023,間接照明フロアライト,Standing Floor Lamp,インテリア,照明,フロアライト,NordicHome Original,SUP-00029,27937.4,96883.36,73450.53,12,active,2024-03-28,スタイリッシュなデザインと機能性を両立したフロアライト。間接照明フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1277,W21×D13×H48cm
PRD-INT-00024,モダンフロアライト,Nordic Floor Light,インテリア,照明,フロアライト,MinimalSpace Original,SUP-00003,16158.44,55937.23,41306.06,320,discontinued,2020-12-07,スタイリッシュなデザインと機能性を両立したフロアライト。モダンフロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,578,W15×D17×H29cm
PRD-INT-00025,デザインシーリングライト,Dimmable Ceiling Light,インテリア,照明,シーリングライト,UrbanDecor Original,SUP-00022,11431.66,30402.98,21388.69,38,active,2022-06-10,スタイリッシュなデザインと機能性を両立したシーリングライト。デザインシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1338,W22×D29×H37cm
PRD-INT-00026,調光調色シーリングライト,Design Ceiling Light,インテリア,照明,シーリングライト,MinimalSpace Original,SUP-00049,13425.8,44694.48,32689.67,29,active,2023-06-04,スタイリッシュなデザインと機能性を両立したシーリングライト。調光調色シーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1641,W29×D20×H25cm
PRD-INT-00027,デザインシーリングライト,Dimmable Ceiling Light,インテリア,照明,シーリングライト,NordicHome Original,SUP-00043,1346.52,3075.09,2586.64,247,discontinued,2024-04-09,スタイリッシュなデザインと機能性を両立したシーリングライト。デザインシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1614,W10×D26×H32cm
PRD-INT-00028,調光調色シーリングライト,Dimmable Ceiling Light,インテリア,照明,シーリングライト,MinimalSpace Original,SUP-00039,9876.77,22186.99,16794.51,104,active,2023-04-09,スタイリッシュなデザインと機能性を両立したシーリングライト。調光調色シーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1532,W29×D26×H40cm
PRD-INT-00029,調光調色シーリングライト,Remote Control Ceiling Light,インテリア,照明,シーリングライト,GlacierStyle Original,SUP-00009,23585.54,65152.16,58878.44,175,active,2022-11-05,スタイリッシュなデザインと機能性を両立したシーリングライト。調光調色シーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1871,W13×D11×H25cm
PRD-INT-00030,LEDシーリングライト,Dimmable Ceiling Light,インテリア,照明,シーリングライト,ModernLiving Original,SUP-00018,29057.17,97863.59,71397.3,8,active,2022-03-05,スタイリッシュなデザインと機能性を両立したシーリングライト。LEDシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1910,W30×D28×H32cm
PRD-INT-00031,デザインシーリングライト,Remote Control Ceiling Light,インテリア,照明,シーリングライト,MinimalSpace Original,SUP-00034,11718.4,40999.37,39078.72,10,active,2020-08-31,スタイリッシュなデザインと機能性を両立したシーリングライト。デザインシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1460,W26×D19×H23cm
PRD-INT-00032,リモコン付きシーリングライト,Design Ceiling Light,インテリア,照明,シーリングライト,UrbanDecor Original,SUP-00037,1975.27,5278.02,5121.6,112,discontinued,2024-11-30,スタイリッシュなデザインと機能性を両立したシーリングライト。リモコン付きシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,960,W19×D12×H25cm
PRD-INT-00033,デザインシーリングライト,Remote Control Ceiling Light,インテリア,照明,シーリングライト,ModernLiving Original,SUP-00026,11497.06,39790.84,28417.87,374,discontinued,2023-02-07,スタイリッシュなデザインと機能性を両立したシーリングライト。デザインシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1043,W24×D16×H49cm
PRD-INT-00034,リモコン付きシーリングライト,Design Ceiling Light,インテリア,照明,シーリングライト,NordicHome Original,SUP-00006,21480.94,47384.76,34040.08,421,active,2021-07-02,スタイリッシュなデザインと機能性を両立したシーリングライト。リモコン付きシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,411,W18×D10×H53cm
PRD-INT-00035,デザインシーリングライト,LED Ceiling Light,インテリア,照明,シーリングライト,GlacierStyle Original,SUP-00017,29723.99,68062.79,51215.12,119,discontinued,2022-04-28,スタイリッシュなデザインと機能性を両立したシーリングライト。デザインシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1599,W27×D16×H34cm
PRD-INT-00036,デザインシーリングライト,Design Ceiling Light,インテリア,照明,シーリングライト,MinimalSpace Original,SUP-00010,16726.36,40271.37,32868.1,352,discontinued,2024-11-03,スタイリッシュなデザインと機能性を両立したシーリングライト。デザインシーリングライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1444,W16×D11×H21cm
PRD-INT-00037,吊り下げペンダントライト,Glass Pendant Lamp,インテリア,照明,ペンダントライト,UrbanDecor Original,SUP-00032,27967.35,71500.64,57590.22,379,active,2022-07-04,スタイリッシュなデザインと機能性を両立したペンダントライト。吊り下げペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,762,W22×D28×H24cm
PRD-INT-00038,北欧風ペンダントライト,Nordic Pendant Light,インテリア,照明,ペンダントライト,MinimalSpace Original,SUP-00024,8353.85,22084.52,20856.19,172,active,2021-02-06,スタイリッシュなデザインと機能性を両立したペンダントライト。北欧風ペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,998,W30×D28×H21cm
PRD-INT-00039,北欧風ペンダントライト,Glass Pendant Lamp,インテリア,照明,ペンダントライト,GlacierStyle Original,SUP-00020,9228.61,28999.61,20740.79,447,active,2021-07-14,スタイリッシュなデザインと機能性を両立したペンダントライト。北欧風ペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1424,W26×D11×H30cm
PRD-INT-00040,モダンペンダントライト,Nordic Pendant Light,インテリア,照明,ペンダントライト,UrbanDecor Original,SUP-00011,3552.41,9704.08,7507.58,418,active,2024-04-18,スタイリッシュなデザインと機能性を両立したペンダントライト。モダンペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,361,W11×D14×H48cm
PRD-INT-00041,吊り下げペンダントライト,Glass Pendant Lamp,インテリア,照明,ペンダントライト,UrbanDecor Original,SUP-00016,11182.67,28289.19,20520.88,391,active,2022-04-12,スタイリッシュなデザインと機能性を両立したペンダントライト。吊り下げペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,586,W18×D15×H48cm
PRD-INT-00042,ガラスペンダントライト,Nordic Pendant Light,インテリア,照明,ペンダントライト,NordicHome Original,SUP-00012,26679.11,78778.17,57709.38,233,active,2023-11-01,スタイリッシュなデザインと機能性を両立したペンダントライト。ガラスペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,579,W28×D29×H48cm
PRD-INT-00043,北欧風ペンダントライト,Modern Pendant Light,インテリア,照明,ペンダントライト,ModernLiving Original,SUP-00010,25821.81,76070.43,69112.58,342,active,2021-02-19,スタイリッシュなデザインと機能性を両立したペンダントライト。北欧風ペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1714,W18×D13×H35cm
PRD-INT-00044,ガラスペンダントライト,Nordic Pendant Light,インテリア,照明,ペンダントライト,UrbanDecor Original,SUP-00004,23725.03,71193.62,66806.28,350,active,2024-07-11,スタイリッシュなデザインと機能性を両立したペンダントライト。ガラスペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1209,W12×D28×H31cm
PRD-INT-00045,ガラスペンダントライト,Nordic Pendant Light,インテリア,照明,ペンダントライト,NordicHome Original,SUP-00002,15749.59,32723.04,27033.15,230,active,2023-11-11,スタイリッシュなデザインと機能性を両立したペンダントライト。ガラスペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1643,W24×D13×H27cm
PRD-INT-00046,ガラスペンダントライト,Nordic Pendant Light,インテリア,照明,ペンダントライト,MinimalSpace Original,SUP-00005,29050.69,88664.49,69451.5,85,discontinued,2023-06-27,スタイリッシュなデザインと機能性を両立したペンダントライト。ガラスペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,809,W29×D12×H32cm
PRD-INT-00047,吊り下げペンダントライト,Hanging Pendant Light,インテリア,照明,ペンダントライト,UrbanDecor Original,SUP-00049,19745.74,51962.35,44135.87,140,active,2022-07-22,スタイリッシュなデザインと機能性を両立したペンダントライト。吊り下げペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1719,W29×D12×H44cm
PRD-INT-00048,北欧風ペンダントライト,Nordic Pendant Light,インテリア,照明,ペンダントライト,GlacierStyle Original,SUP-00028,2533.66,6681.71,5411.34,475,active,2024-03-22,スタイリッシュなデザインと機能性を両立したペンダントライト。北欧風ペンダントライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,799,W24×D18×H57cm
PRD-INT-00049,収納付きデスク,L-Shaped Desk,インテリア,家具,デスク,NordicHome Original,SUP-00016,16110.09,42176.6,41093.07,82,active,2021-09-12,スタイリッシュなデザインと機能性を両立したデスク。収納付きデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,20138,W139×D61×H75cm
PRD-INT-00050,L字型デスク,Standing Desk,インテリア,家具,デスク,GlacierStyle Original,SUP-00037,26645.96,91565.8,82772.15,137,active,2022-10-04,スタイリッシュなデザインと機能性を両立したデスク。L字型デスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,33314,W164×D82×H72cm
PRD-INT-00051,L字型デスク,Simple Desk,インテリア,家具,デスク,NordicHome Original,SUP-00002,23650.61,53710.39,46411.33,195,active,2020-10-23,スタイリッシュなデザインと機能性を両立したデスク。L字型デスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,27403,W84×D52×H72cm
PRD-INT-00052,L字型デスク,Desk with Storage,インテリア,家具,デスク,UrbanDecor Original,SUP-00015,15648.36,38242.57,35253.96,389,discontinued,2024-05-19,スタイリッシュなデザインと機能性を両立したデスク。L字型デスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,17709,W127×D85×H73cm
PRD-INT-00053,スタンディングデスク,Simple Desk,インテリア,家具,デスク,ModernLiving Original,SUP-00041,17615.15,52954.4,49703.62,222,active,2020-07-27,スタイリッシュなデザインと機能性を両立したデスク。スタンディングデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,20451,W96×D88×H75cm
PRD-INT-00054,シンプルデスク,Standing Desk,インテリア,家具,デスク,NordicHome Original,SUP-00043,29334.14,94892.45,83446.06,12,active,2020-11-29,スタイリッシュなデザインと機能性を両立したデスク。シンプルデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,37899,W139×D77×H70cm
PRD-INT-00055,シンプルデスク,L-Shaped Desk,インテリア,家具,デスク,UrbanDecor Original,SUP-00025,2706.82,6136.86,6032.25,202,active,2023-07-06,スタイリッシュなデザインと機能性を両立したデスク。シンプルデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,38693,W125×D81×H71cm
PRD-INT-00056,スタンディングデスク,L-Shaped Desk,インテリア,家具,デスク,MinimalSpace Original,SUP-00030,9800.61,21835.6,17820.3,387,discontinued,2024-06-13,スタイリッシュなデザインと機能性を両立したデスク。スタンディングデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,34803,W111×D67×H74cm
PRD-INT-00057,シンプルデスク,Desk with Storage,インテリア,家具,デスク,UrbanDecor Original,SUP-00024,8559.06,18669.22,18047.06,330,active,2021-10-23,スタイリッシュなデザインと機能性を両立したデスク。シンプルデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,28429,W154×D69×H73cm
PRD-INT-00058,スタンディングデスク,Standing Desk,インテリア,家具,デスク,NordicHome Original,SUP-00050,21036.16,72260.03,53637.4,104,active,2023-01-31,スタイリッシュなデザインと機能性を両立したデスク。スタンディングデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,38946,W81×D74×H75cm
PRD-INT-00059,スタンディングデスク,Simple Desk,インテリア,家具,デスク,UrbanDecor Original,SUP-00026,20084.44,46812.45,42289.98,94,active,2020-05-25,スタイリッシュなデザインと機能性を両立したデスク。スタンディングデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,22587,W98×D68×H75cm
PRD-INT-00060,シンプルデスク,Simple Desk,インテリア,家具,デスク,NordicHome Original,SUP-00003,13282.47,34806.13,29235.73,104,discontinued,2023-11-14,スタイリッシュなデザインと機能性を両立したデスク。シンプルデスクは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,21769,W169×D71×H70cm
PRD-INT-00061,オフィスチェア,Ergonomic Chair,インテリア,家具,チェア,MinimalSpace Original,SUP-00037,26817.18,84755.78,66205.19,146,discontinued,2021-11-19,スタイリッシュなデザインと機能性を両立したチェア。オフィスチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,12036,W65×D42×H112cm
PRD-INT-00062,ダイニングチェア,Ergonomic Chair,インテリア,家具,チェア,MinimalSpace Original,SUP-00011,19580.76,44643.85,37646.64,193,active,2022-03-09,スタイリッシュなデザインと機能性を両立したチェア。ダイニングチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,8264,W58×D64×H118cm
PRD-INT-00063,ダイニングチェア,Gaming Chair,インテリア,家具,チェア,ModernLiving Original,SUP-00023,21284.48,65043.5,51958.49,366,active,2021-02-21,スタイリッシュなデザインと機能性を両立したチェア。ダイニングチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,8799,W53×D54×H100cm
PRD-INT-00064,ゲーミングチェア,Office Chair,インテリア,家具,チェア,NordicHome Original,SUP-00013,20431.13,67987.53,59492.62,102,active,2022-01-16,スタイリッシュなデザインと機能性を両立したチェア。ゲーミングチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,12414,W55×D69×H100cm
PRD-INT-00065,オフィスチェア,Ergonomic Chair,インテリア,家具,チェア,ModernLiving Original,SUP-00007,19381.77,51037.48,38691.79,56,active,2022-07-30,スタイリッシュなデザインと機能性を両立したチェア。オフィスチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,14511,W52×D56×H120cm
PRD-INT-00066,エルゴノミクスチェア,Gaming Chair,インテリア,家具,チェア,NordicHome Original,SUP-00031,18843.13,64005.04,60469.49,82,active,2021-11-16,スタイリッシュなデザインと機能性を両立したチェア。エルゴノミクスチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,8393,W48×D54×H99cm
PRD-INT-00067,ダイニングチェア,Gaming Chair,インテリア,家具,チェア,MinimalSpace Original,SUP-00008,9113.24,28755.64,20628.37,219,active,2021-12-02,スタイリッシュなデザインと機能性を両立したチェア。ダイニングチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,10297,W70×D62×H118cm
PRD-INT-00068,オフィスチェア,Dining Chair,インテリア,家具,チェア,ModernLiving Original,SUP-00050,9309.36,20475.99,16856.58,355,active,2020-04-12,スタイリッシュなデザインと機能性を両立したチェア。オフィスチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,12141,W57×D45×H108cm
PRD-INT-00069,オフィスチェア,Ergonomic Chair,インテリア,家具,チェア,NordicHome Original,SUP-00038,29388.64,86861.61,75091.67,326,active,2020-09-06,スタイリッシュなデザインと機能性を両立したチェア。オフィスチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,9043,W64×D62×H97cm
PRD-INT-00070,エルゴノミクスチェア,Gaming Chair,インテリア,家具,チェア,ModernLiving Original,SUP-00014,1660.95,5389.39,4621.78,167,active,2021-02-09,スタイリッシュなデザインと機能性を両立したチェア。エルゴノミクスチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,8256,W70×D48×H96cm
PRD-INT-00071,ゲーミングチェア,Office Chair,インテリア,家具,チェア,GlacierStyle Original,SUP-00012,23703.95,75695.51,58147.26,103,active,2022-12-20,スタイリッシュなデザインと機能性を両立したチェア。ゲーミングチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,12419,W45×D70×H111cm
PRD-INT-00072,エルゴノミクスチェア,Gaming Chair,インテリア,家具,チェア,ModernLiving Original,SUP-00010,8771.93,23381.72,19097.99,287,active,2021-05-15,スタイリッシュなデザインと機能性を両立したチェア。エルゴノミクスチェアは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,13698,W55×D70×H112cm
PRD-INT-00073,ディスプレイラック,Stacking Shelf,インテリア,家具,収納棚,GlacierStyle Original,SUP-00034,28096.7,79283.05,74524.71,311,active,2020-08-10,スタイリッシュなデザインと機能性を両立した収納棚。ディスプレイラックは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,3444,W36×D29×H45cm
PRD-INT-00074,ブックシェルフ,Bookshelf,インテリア,家具,収納棚,GlacierStyle Original,SUP-00004,28201.56,79781.26,73774.73,484,discontinued,2024-12-25,スタイリッシュなデザインと機能性を両立した収納棚。ブックシェルフは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1374,W23×D35×H39cm
PRD-INT-00075,ブックシェルフ,Bookshelf,インテリア,家具,収納棚,UrbanDecor Original,SUP-00038,10442.72,32422.67,24471.12,61,discontinued,2021-07-26,スタイリッシュなデザインと機能性を両立した収納棚。ブックシェルフは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,4907,W22×D30×H28cm
PRD-INT-00076,ディスプレイラック,Stacking Shelf,インテリア,家具,収納棚,UrbanDecor Original,SUP-00015,6247.43,18354.09,16309.94,84,discontinued,2024-10-13,スタイリッシュなデザインと機能性を両立した収納棚。ディスプレイラックは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,4603,W38×D23×H36cm
